iter	RMSE
0	0.3968444774
1	0.3954638206
2	0.3941863226
3	0.3928885231
4	0.3915464429
5	0.3903010831
6	0.3891236848
7	0.3878493059
8	0.3867294705
9	0.3855128462
10	0.3843105772
11	0.3831389497
12	0.381851502
13	0.3807141056
14	0.3794468819
15	0.3782842789
16	0.3771322078
17	0.3760022861
18	0.3748743777
19	0.3735989691
20	0.3725015545
21	0.3714408999
22	0.3703673885
23	0.369156175
24	0.3680243402
25	0.3670136702
26	0.3658993561
27	0.3646854691
28	0.3635455387
29	0.3624074075
30	0.3613747731
31	0.3603304287
32	0.3592719115
33	0.3582013025
34	0.3570680464
35	0.3560455516
36	0.3549759518
37	0.3539038721
38	0.3527799942
39	0.3516968761
40	0.3507684713
41	0.3497554396
42	0.3487425403
43	0.3479209251
44	0.3471044057
45	0.3460546933
46	0.3451028873
47	0.3441028176
48	0.3431168057
49	0.3421354534
50	0.3411984516
51	0.3401609998
52	0.3392638381
53	0.3383056556
54	0.3372605332
55	0.3362303343
56	0.3352404304
57	0.3343832364
58	0.3334160982
59	0.332507322
60	0.33159535
61	0.3306982227
62	0.3298147568
63	0.3287940484
64	0.3278599118
65	0.3268404798
66	0.3259090628
67	0.3250193201
68	0.3240412654
69	0.323153508
70	0.3222871518
71	0.3213841008
72	0.3205763769
73	0.319747102
74	0.3189783216
75	0.3180320684
76	0.3170888558
77	0.3162163542
78	0.315356597
79	0.3145533801
80	0.3137075465
81	0.3128664524
82	0.3119570842
83	0.3111215053
84	0.3102205485
85	0.3092747705
86	0.3084779566
87	0.3076152967
88	0.3068018164
89	0.3060252012
90	0.305231983
91	0.3044779418
92	0.3036265534
93	0.3028270145
94	0.3020630897
95	0.3012914788
96	0.3004167088
97	0.2995833754
98	0.2987154785
99	0.2979612821
100	0.2971944752
101	0.2964753526
102	0.2957132958
103	0.2949350635
104	0.2941452798
105	0.293480871
106	0.2927382154
107	0.2919932501
108	0.2912754854
109	0.2904956012
110	0.2897462739
111	0.2889437414
112	0.2882288078
113	0.2875070716
114	0.2867254802
115	0.2859629855
116	0.2853925891
117	0.284625744
118	0.2839295968
119	0.2831995051
120	0.2824920466
121	0.2817871978
122	0.2810374583
123	0.2804296156
124	0.2796997489
125	0.2790227175
126	0.2783296109
127	0.2776242594
128	0.2769691147
129	0.276359677
130	0.2756190629
131	0.2749160036
132	0.2742550535
133	0.2736150381
134	0.2728937173
135	0.2722685759
136	0.2716294684
137	0.2709818298
138	0.2702942155
139	0.2696114573
140	0.2690346818
141	0.2683999302
142	0.2678252216
143	0.267176507
144	0.2666532103
145	0.2660377513
146	0.2654105837
147	0.264743467
148	0.2642096175
149	0.2635903349
150	0.2629765159
151	0.2623697949
152	0.2618636741
153	0.2612421581
154	0.2606827086
155	0.2601196452
156	0.25952047
157	0.2589574936
158	0.2584031045
159	0.2577867381
160	0.2572557226
161	0.2566629118
162	0.2560665805
163	0.2555557797
164	0.2549698333
165	0.2543663539
166	0.2538169418
167	0.2533209433
168	0.2527405237
169	0.2521525728
170	0.2516439501
171	0.251091152
172	0.250463919
173	0.2499124143
174	0.2493880472
175	0.2488419236
176	0.2482813885
177	0.247793795
178	0.2472785848
179	0.2467125367
180	0.2461816643
181	0.2456723409
182	0.2451871708
183	0.2447216828
184	0.2442474847
185	0.2437014798
186	0.2432023034
187	0.2426853635
188	0.242252405
189	0.2417727727
190	0.2413167248
191	0.2408046071
192	0.2402667987
193	0.2398350764
194	0.2393767358
195	0.2388790244
196	0.2383598372
197	0.2378921473
198	0.2373919918
199	0.2369083883
200	0.2364383242
201	0.2359501348
202	0.2354573227
203	0.2349737276
204	0.2344669608
205	0.2339994622
206	0.2335027584
207	0.2330569221
208	0.232543223
209	0.232070687
210	0.2315881045
211	0.231106588
212	0.2306833922
213	0.2302017147
214	0.2297478576
215	0.229298771
216	0.2288568452
217	0.2283993336
218	0.2279419821
219	0.227476462
220	0.227003897
221	0.226562063
222	0.2261091456
223	0.2256640938
224	0.2252611421
225	0.2248793442
226	0.224478634
227	0.224045482
228	0.2236636244
229	0.2232568752
230	0.2228899232
231	0.2224881277
232	0.2221164709
233	0.221742354
234	0.2213427129
235	0.2209283112
236	0.2205344024
237	0.2201265705
238	0.2197449593
239	0.2193628754
240	0.2189690481
241	0.218571481
242	0.2182121755
243	0.2178560584
244	0.2175124473
245	0.2171527501
246	0.2167621199
247	0.2163792848
248	0.2160174076
249	0.2156167055
250	0.2152913555
251	0.2149352874
252	0.2145974673
253	0.2142380239
254	0.2138286074
255	0.2134700465
256	0.2130861276
257	0.2127088913
258	0.2123220273
259	0.2119780253
260	0.2115998148
261	0.2112654803
262	0.2108946134
263	0.2105191218
264	0.2101540011
265	0.2098298611
266	0.2094496577
267	0.2091219866
268	0.208799213
269	0.2084148791
270	0.2081315056
271	0.2077652695
272	0.2074264363
273	0.2070840207
274	0.2067404586
275	0.2064565105
276	0.2061230055
277	0.2057657725
278	0.2055049755
279	0.2052315511
280	0.2048974005
281	0.2046244719
282	0.2043303233
283	0.2040060919
284	0.2036941514
285	0.2033901068
286	0.203058131
287	0.202726037
288	0.2024165476
289	0.2021506872
290	0.2018517777
291	0.2015380442
292	0.2012117578
293	0.200945094
294	0.2006444843
295	0.2003811958
296	0.2000865061
297	0.199836047
298	0.1995505609
299	0.1992717599
300	0.1989571001
301	0.1986020215
302	0.1983253924
303	0.1980003454
304	0.1976895102
305	0.1973601267
306	0.1970171471
307	0.196787795
308	0.1964816157
309	0.1961565263
310	0.1958510828
311	0.1955278981
312	0.195270439
313	0.1949734833
314	0.1947112748
315	0.1944665938
316	0.1942124775
317	0.193937688
318	0.1936851633
319	0.1934282382
320	0.1931732392
321	0.1928980639
322	0.1926375328
323	0.1923634796
324	0.1920472029
325	0.1917823241
326	0.1915552796
327	0.1912872404
328	0.1910075118
329	0.1907378084
330	0.1905180687
331	0.1902519755
332	0.190014393
333	0.1897466777
334	0.1894726314
335	0.1892263422
336	0.1889883363
337	0.1887357383
338	0.1885038648
339	0.1882434418
340	0.1880375905
341	0.1877837738
342	0.1875242253
343	0.1872637978
344	0.1869963002
345	0.186778551
346	0.1865353427
347	0.1862870859
348	0.1860593156
349	0.1857846085
350	0.1855178619
351	0.1852728905
352	0.1850002081
353	0.1847576886
354	0.1845144152
355	0.184266664
356	0.1840248143
357	0.183782271
358	0.1835637389
359	0.1833076001
360	0.1830565879
361	0.1828233016
362	0.1826082596
363	0.1824227949
364	0.1821601261
365	0.1819081509
366	0.181712605
367	0.1815155656
368	0.1812856937
369	0.181066124
370	0.1808396037
371	0.1806067302
372	0.180412133
373	0.1801924042
374	0.1799769961
375	0.1797727893
376	0.179568617
377	0.1793424535
378	0.1791309725
379	0.1789209787
380	0.178704819
381	0.1784818997
382	0.1782563877
383	0.1780805088
384	0.1778577919
385	0.1776866553
386	0.1774511709
387	0.1772390949
388	0.1770454552
389	0.1768178105
390	0.1766591313
391	0.1764620954
392	0.1762649851
393	0.1760703056
394	0.1758763595
395	0.1756775795
396	0.17549584
397	0.1752981323
398	0.1751584871
399	0.1749700201
400	0.1747684472
401	0.1745799422
402	0.1743807536
403	0.174183024
404	0.1739804132
405	0.173801956
406	0.1736314749
407	0.1735016401
408	0.1733050778
409	0.1731787136
410	0.1729790905
411	0.1728087554
412	0.1726455452
413	0.1724803275
414	0.172283139
415	0.1721189066
416	0.1719535744
417	0.1717795033
418	0.17162849
419	0.1714477095
420	0.1712575409
421	0.1711097243
422	0.1709254472
423	0.1707628836
424	0.1705777451
425	0.1703916158
426	0.1702147251
427	0.1700352426
428	0.1698660187
429	0.1696879226
430	0.169528686
431	0.1693736632
432	0.1692255174
433	0.1690597205
434	0.1688789814
435	0.168699384
436	0.1685383814
437	0.1683717221
438	0.1682325407
439	0.1680561535
440	0.1679095402
441	0.1677430142
442	0.1675953736
443	0.1674464817
444	0.1673022865
445	0.1671472292
446	0.1669858715
