iter	RMSE
0	0.3998910358
1	0.3986341122
2	0.3973072835
3	0.3960018752
4	0.3947007966
5	0.3933450348
6	0.3919977681
7	0.3907236252
8	0.3894664171
9	0.3882558264
10	0.3870214331
11	0.3857680581
12	0.3844065499
13	0.3832292818
14	0.3819324864
15	0.3807175185
16	0.3793892604
17	0.3781333918
18	0.3768734745
19	0.3757882099
20	0.374613687
21	0.3734675536
22	0.3723898604
23	0.3711712057
24	0.3699607811
25	0.3687229986
26	0.367519928
27	0.3662779793
28	0.3651061374
29	0.3640220868
30	0.3629025358
31	0.3617960035
32	0.3607318589
33	0.3596370678
34	0.3584806537
35	0.3573636759
36	0.3562201403
37	0.3551020317
38	0.3540061506
39	0.3528373618
40	0.351733679
41	0.3506033392
42	0.3494204444
43	0.3483317567
44	0.3473355603
45	0.3463788285
46	0.3453096956
47	0.3441799576
48	0.3431386265
49	0.3422093882
50	0.3411930886
51	0.3401729377
52	0.3391321315
53	0.3382057176
54	0.3372509262
55	0.3362822056
56	0.3352441629
57	0.334228831
58	0.3333070967
59	0.3321635871
60	0.3311587436
61	0.3301229011
62	0.3291252738
63	0.3281335786
64	0.3272343777
65	0.3262591648
66	0.3252530229
67	0.324281401
68	0.3232725133
69	0.3222903289
70	0.3213906441
71	0.3204429148
72	0.3194869273
73	0.3186054882
74	0.3176680087
75	0.3167784757
76	0.3158374463
77	0.3148876457
78	0.3138985991
79	0.31305307
80	0.3120816892
81	0.3112322725
82	0.3103128336
83	0.3095314546
84	0.3087235622
85	0.3078313884
86	0.3069900909
87	0.3061260684
88	0.3052522803
89	0.3043968377
90	0.3035673834
91	0.3026745509
92	0.301866768
93	0.3010686591
94	0.3003285363
95	0.2995107331
96	0.2987209998
97	0.2979077528
98	0.2971431057
99	0.2963113327
100	0.2954495434
101	0.2947167086
102	0.2938487685
103	0.2931037947
104	0.2922626924
105	0.2914459813
106	0.2906437395
107	0.2898423874
108	0.289051434
109	0.2883270699
110	0.2876057436
111	0.286762173
112	0.2859800136
113	0.2851825286
114	0.2844676834
115	0.2837225414
116	0.2829934419
117	0.2823236019
118	0.2816479162
119	0.2809548356
120	0.2802911427
121	0.2795944995
122	0.278878133
123	0.2781692767
124	0.2774371991
125	0.2767759879
126	0.2761960044
127	0.2755645252
128	0.274822462
129	0.2741952464
130	0.273468608
131	0.2727378024
132	0.2720214591
133	0.2713624098
134	0.2707213118
135	0.2700858017
136	0.2695039082
137	0.2688681661
138	0.2681943296
139	0.2676319637
140	0.2669687746
141	0.2663137752
142	0.2656590148
143	0.2649406473
144	0.2642512554
145	0.263571024
146	0.2629426217
147	0.2623354585
148	0.2616855676
149	0.2610273518
150	0.2603454711
151	0.259755789
152	0.2591230366
153	0.2584768495
154	0.2578173043
155	0.2572830879
156	0.2566601287
157	0.2560265258
158	0.2554633597
159	0.2548015505
160	0.2542435786
161	0.2536567218
162	0.2530293235
163	0.252439145
164	0.2518066348
165	0.2511759025
166	0.2505956283
167	0.2500110953
168	0.2494520079
169	0.2488911711
170	0.2482817372
171	0.2477679224
172	0.2472476967
173	0.2467232068
174	0.2461638583
175	0.2456365697
176	0.2450911857
177	0.2445242314
178	0.2439808765
179	0.2435375674
180	0.2430230891
181	0.2425291674
182	0.2420278096
183	0.2415324381
184	0.2409970882
185	0.2404667505
186	0.2398802345
187	0.239434514
188	0.238937834
189	0.2384051368
190	0.2379127576
191	0.2373885617
192	0.2368858537
193	0.236392968
194	0.235841719
195	0.2353664616
196	0.2348676439
